X,Y,TimeInstan,position,presenceSt,type,id,latitude,longitude,sensor_id
-3.803390488,43.462907227,2015-12-28T08:17:54.000Z,"43.462907227,-3.803390488",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3612,43.462907227000002,-3.803390488000000,daoiz_velarde_1_5
-3.803448156,43.46289944,2015-12-28T08:20:28.000Z,"43.462899440,-3.803448156",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3611,43.462899440000001,-3.803448156000000,daoiz_velarde_1_5
-3.803505152,43.4628936,2015-12-28T08:20:12.000Z,"43.462893600,-3.803505152",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3610,43.462893600000001,-3.803505152000000,daoiz_velarde_1_5
-3.798491433,43.463096067,2015-12-28T03:27:09.000Z,"43.463096067,-3.798491433",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3609,43.463096067000002,-3.798491433000000,hernan_cortes_45_51
-3.798549101,43.4630912,2015-12-28T03:33:19.000Z,"43.463091200,-3.798549101",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3608,43.463091200000001,-3.798549101000000,hernan_cortes_45_51
-3.798620179,43.463083899,2015-12-28T07:20:24.000Z,"43.463083899,-3.798620179",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3607,43.463083898999997,-3.798620179000000,hernan_cortes_45_51
-3.798686564,43.463079032,2015-12-28T07:07:50.000Z,"43.463079032,-3.798686564",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3606,43.463079032000003,-3.798686564000000,hernan_cortes_45_51
-3.798752278,43.463072705,2015-12-28T05:55:36.000Z,"43.463072705,-3.798752278",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3605,43.463072705000002,-3.798752278000000,hernan_cortes_45_51
-3.798816651,43.463066378,2015-12-28T06:25:28.000Z,"43.463066378,-3.798816651",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3604,43.463066378000001,-3.798816651000000,hernan_cortes_45_51
-3.798878342,43.463060051,2015-12-28T06:43:23.000Z,"43.463060051,-3.798878342",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3603,43.463060050999999,-3.798878342000000,hernan_cortes_45_51
-3.798923269,43.463055671,2015-12-28T07:10:42.000Z,"43.463055671,-3.798923269",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3602,43.463055670999999,-3.798923269000000,hernan_cortes_45_51
-3.798970208,43.46305129,2015-12-28T07:00:42.000Z,"43.463051290,-3.798970208",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3601,43.463051290000003,-3.798970208000000,hernan_cortes_45_51
-3.798428383,43.463653686,1970-01-01T00:00:08.000Z,"43.463653686,-3.798428383",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3750,43.463653686000001,-3.798428383000000,gandara_11
-3.798441123,43.463748592,2015-12-27T21:56:47.000Z,"43.463748592,-3.798441123",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3749,43.463748592000002,-3.798441123000000,gandara_11
-3.798441123,43.463792881,2015-12-25T17:04:28.000Z,"43.463792881,-3.798441123",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3748,43.463792881000003,-3.798441123000000,gandara_11
-3.798421677,43.463622051,2015-12-28T01:45:25.000Z,"43.463622051,-3.798421677",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3751,43.463622051000002,-3.798421677000000,gandara_11
-3.799576387,43.46271352,2015-12-27T20:28:23.000Z,"43.462713520,-3.799576387",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3826,43.462713520000001,-3.799576387000000,lope_de_vega_5
-3.799583763,43.462758783,2015-12-27T08:16:23.000Z,"43.462758783,-3.799583763",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3825,43.462758782999998,-3.799583763000000,lope_de_vega_5
-3.79959248,43.462803073,2015-12-27T21:28:48.000Z,"43.462803073,-3.799592480",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3824,43.462803073000003,-3.799592480000000,lope_de_vega_5
-3.799601197,43.462844443,2015-12-28T08:20:12.000Z,"43.462844443,-3.799601197",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3823,43.462844443000002,-3.799601197000000,lope_de_vega_5
-3.799608573,43.462884839,2015-12-28T07:50:02.000Z,"43.462884839,-3.799608573",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3822,43.462884838999997,-3.799608573000000,lope_de_vega_5
-3.799704462,43.463411933,2015-12-24T11:40:34.000Z,"43.463411933,-3.799704462",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3819,43.463411933000003,-3.799704462000000,lope_de_vega_10
-3.799711838,43.463452329,2015-12-24T22:36:14.000Z,"43.463452329,-3.799711838",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3818,43.463452328999999,-3.799711838000000,lope_de_vega_10
-3.799720556,43.463492725,2015-07-26T20:42:58.000Z,"43.463492725,-3.799720556",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3817,43.463492725000002,-3.799720556000000,lope_de_vega_10
-3.799729273,43.463539447,2015-12-27T23:45:01.000Z,"43.463539447,-3.799729273",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3816,43.463539447000002,-3.799729273000000,lope_de_vega_10
-3.799735978,43.463584223,2015-12-28T00:00:24.000Z,"43.463584223,-3.799735978",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3815,43.463584222999998,-3.799735978000000,lope_de_vega_10
-3.799744025,43.463627052,2015-12-27T20:37:23.000Z,"43.463627052,-3.799744025",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3814,43.463627052000000,-3.799744025000000,lope_de_vega_10
-3.799785599,43.463868939,2015-12-27T15:27:37.000Z,"43.463868939,-3.799785599",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3813,43.463868939000001,-3.799785599000000,lope_de_vega_14
-3.799792305,43.463910795,2015-12-27T21:04:40.000Z,"43.463910795,-3.799792305",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3812,43.463910794999997,-3.799792305000000,lope_de_vega_14
-3.799803033,43.463952163,2015-12-27T04:08:21.000Z,"43.463952163,-3.799803033",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3811,43.463952163000002,-3.799803033000000,lope_de_vega_14
-3.799808398,43.463992072,2015-12-25T07:39:10.000Z,"43.463992072,-3.799808398",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3810,43.463992072000003,-3.799808398000000,lope_de_vega_14
-3.799815103,43.464043175,2015-12-24T05:36:49.000Z,"43.464043175,-3.799815103",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3809,43.464043175000000,-3.799815103000000,lope_de_vega_14
-3.799821809,43.464083083,2015-12-28T03:38:22.000Z,"43.464083083,-3.799821809",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3808,43.464083082999998,-3.799821809000000,lope_de_vega_14
-3.799827844,43.464125912,2015-12-22T12:04:07.000Z,"43.464125912,-3.799827844",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3807,43.464125912000000,-3.799827844000000,lope_de_vega_14
-3.799839243,43.464162901,2015-12-27T19:50:45.000Z,"43.464162901,-3.799839243",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3806,43.464162901000002,-3.799839243000000,lope_de_vega_14
-3.799846619,43.464202322,2015-12-22T09:11:18.000Z,"43.464202322,-3.799846619",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3805,43.464202321999998,-3.799846619000000,lope_de_vega_14
-3.799510002,43.46271498,2015-12-28T06:42:36.000Z,"43.462714980,-3.799510002",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3803,43.462714980000001,-3.799510002000000,lope_de_vega_5
-3.799518049,43.462761704,2015-12-27T18:25:16.000Z,"43.462761704,-3.799518049",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3802,43.462761704000002,-3.799518049000000,lope_de_vega_5
-3.799528778,43.462820108,2015-12-27T19:11:00.000Z,"43.462820108,-3.799528778",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3801,43.462820108000003,-3.799528778000000,lope_de_vega_5
-3.799538836,43.462863911,2015-12-28T08:12:34.000Z,"43.462863911,-3.799538836",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3800,43.462863910999999,-3.799538836000000,lope_de_vega_5
-3.7995442,43.462904794,2015-12-21T17:36:22.000Z,"43.462904794,-3.799544200",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3799,43.462904794000004,-3.799544200000000,lope_de_vega_5
-3.799724579,43.463877213,2015-12-16T07:23:43.000Z,"43.463877213,-3.799724579",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3788,43.463877213000004,-3.799724579000000,lope_de_vega_14
-3.799733967,43.463914688,2015-12-28T00:38:28.000Z,"43.463914688,-3.799733967",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3787,43.463914688000003,-3.799733967000000,lope_de_vega_14
-3.799741343,43.46395849,2015-12-24T16:46:36.000Z,"43.463958490,-3.799741343",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3786,43.463958490000003,-3.799741343000000,lope_de_vega_14
-3.799746037,43.463996452,2015-12-20T19:52:55.000Z,"43.463996452,-3.799746037",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3785,43.463996452000004,-3.799746037000000,lope_de_vega_14
